INFO:m = 6.025912495609881, b = 1.968160994200942, mse = 15.224044715404762, prev_mse = 15.313868829555993, mse_inc = False, iteration 47
INFO:m = 6.022899312871038, b = 1.9888140926642839, mse = 15.134747468211415, prev_mse = 15.224044715404762, mse_inc = False, iteration 48
INFO:m = 6.0198949775163895, b = 2.0094065308787203, mse = 15.04597399761657, prev_mse = 15.134747468211415, mse_inc = False, iteration 49
INFO:m = 6.016899464419122, b = 2.029938487133738, mse = 14.957721231387493, prev_mse = 15.04597399761657, mse_inc = False, iteration 50
INFO:m = 6.013912748240945, b = 2.0504101391535516, mse = 14.86998611531176, prev_mse = 14.957721231387493, mse_inc = False, iteration 51
INFO:m = 6.010934803527488, b = 2.070821664112593, mse = 14.782765613091554, prev_mse = 14.86998611531176, mse_inc = False, iteration 52
INFO:m = 6.007965604771928, b = 2.0911732386463564, mse = 14.696056706238597, prev_mse = 14.782765613091554, mse_inc = False, iteration 53
INFO:m = 6.005005126457409, b = 2.1114650388591505, mse = 14.60985639396966, prev_mse = 14.696056706238597, mse_inc = False, iteration 54
INFO:m = 6.002053343085292, b = 2.1316972403297743, mse = 14.52416169310273, prev_mse = 14.60985639396966, mse_inc = False, iteration 55
INFO:m = 5.999110229193949, b = 2.1518700181158104, mse = 14.438969637953779, prev_mse = 14.52416169310273, mse_inc = False, iteration 56
INFO:m = 5.996175759371238, b = 2.171983546756992, mse = 14.354277280234108, prev_mse = 14.438969637953779, mse_inc = False, iteration 57
INFO:m = 5.993249908262763, b = 2.1920380002779507, mse = 14.270081688948322, prev_mse = 14.354277280234108, mse_inc = False, iteration 58
INFO:m = 5.990332650577316, b = 2.2120335521905465, mse = 14.186379950292915, prev_mse = 14.270081688948322, mse_inc = False, iteration 59
INFO:m = 5.987423961090437, b = 2.2319703754959224, mse = 14.103169167555402, prev_mse = 14.186379950292915, mse_inc = False, iteration 60
INFO:m = 5.984523814646725, b = 2.251848642686368, mse = 14.02044646101406, prev_mse = 14.103169167555402, mse_inc = False, iteration 61
INFO:m = 5.981632186161299, b = 2.2716685257470597, mse = 13.938208967838342, prev_mse = 14.02044646101406, mse_inc = False, iteration 62
INFO:m = 5.978749050620717, b = 2.291430196157711, mse = 13.856453841989698, prev_mse = 13.938208967838342, mse_inc = False, iteration 63
INFO:m = 5.975874383083502, b = 2.311133824894167, mse = 13.775178254123155, prev_mse = 13.856453841989698, mse_inc = False, iteration 64
INFO:m = 5.9730081586804324, b = 2.3307795824299564, mse = 13.694379391489358, prev_mse = 13.775178254123155, mse_inc = False, iteration 65
INFO:m = 5.970150352614662, b = 2.3503676387378154, mse = 13.614054457837288, prev_mse = 13.694379391489358, mse_inc = False, iteration 66
INFO:m = 5.967300940161729, b = 2.3698981632911913, mse = 13.534200673317413, prev_mse = 13.614054457837288, mse_inc = False, iteration 67
INFO:m = 5.964459896669491, b = 2.38937132506573, mse = 13.45481527438551, prev_mse = 13.534200673317413, mse_inc = False, iteration 68
INFO:m = 5.9616271975580135, b = 2.408787292540753, mse = 13.375895513707093, prev_mse = 13.45481527438551, mse_inc = False, iteration 69
INFO:m = 5.9588028183194215, b = 2.428146233700725, mse = 13.297438660062205, prev_mse = 13.375895513707093, mse_inc = False, iteration 70
INFO:m = 5.955986734517732, b = 2.4474483160367124, mse = 13.219441998251027, prev_mse = 13.297438660062205, mse_inc = False, iteration 71
INFO:m = 5.953178921788676, b = 2.4666937065478387, mse = 13.141902828999825, prev_mse = 13.219441998251027, mse_inc = False, iteration 72
INFO:m = 5.950379355839502, b = 2.4858825717427306, mse = 13.064818468867557, prev_mse = 13.141902828999825, mse_inc = False, iteration 73
INFO:m = 5.947588012448784, b = 2.505015077640962, mse = 12.988186250153039, prev_mse = 13.064818468867557, mse_inc = False, iteration 74
INFO:m = 5.944804867466217, b = 2.52409138977449, mse = 12.912003520802585, prev_mse = 12.988186250153039, mse_inc = False, iteration 75
INFO:m = 5.942029896812416, b = 2.543111673189089, mse = 12.83626764431823, prev_mse = 12.912003520802585, mse_inc = False, iteration 76
INFO:m = 5.9392630764787135, b = 2.5620760924457797, mse = 12.760975999666483, prev_mse = 12.83626764431823, mse_inc = False, iteration 77
INFO:m = 5.93650438252695, b = 2.5809848116222525, mse = 12.686125981187667, prev_mse = 12.760975999666483, mse_inc = False, iteration 78
INFO:m = 5.933753791089271, b = 2.599837994314287, mse = 12.611714998505674, prev_mse = 12.686125981187667, mse_inc = False, iteration 79
INFO:m = 5.931011278367921, b = 2.6186358036371677, mse = 12.537740476438367, prev_mse = 12.611714998505674, mse_inc = False, iteration 80
